benchmark,config,mode,add,div,mem,unified,ipc,issue_stall,cycles,insts
gen-lin-recc,Config1,per-fu,4,3,3,0,0.190035,3079029,3801505,722420
gen-lin-recc,Config2,per-fu,6,2,2,0,0.186037,3160758,3883209,722420
gen-lin-recc,Config3,per-fu,3,2,5,0,0.186861,3143619,3866089,722420
gen-lin-recc,Config4,per-fu,3,5,2,0,0.186037,3160746,3883197,722420
gen-lin-recc,Config5,per-fu,5,1,4,0,0.187337,3133773,3856249,722420
gen-lin-recc,Config6,unified,0,0,0,10,0.190968,3060448,3782939,722420
iccg,Config1,per-fu,4,3,3,0,0.443377,157388,282800,125387
iccg,Config2,per-fu,6,2,2,0,0.360731,222185,347591,125387
iccg,Config3,per-fu,3,2,5,0,0.377322,206905,332308,125387
iccg,Config4,per-fu,3,5,2,0,0.360174,222722,348129,125387
iccg,Config5,per-fu,5,1,4,0,0.275366,329944,455347,125387
iccg,Config6,unified,0,0,0,10,0.572405,93636,219053,125387
inner-product,Config1,per-fu,4,3,3,0,0.523897,59507,125057,65517
inner-product,Config2,per-fu,6,2,2,0,0.380875,106467,172017,65517
inner-product,Config3,per-fu,3,2,5,0,0.544537,54774,120317,65517
inner-product,Config4,per-fu,3,5,2,0,0.380758,106520,172070,65517
inner-product,Config5,per-fu,5,1,4,0,0.380802,106507,172050,65517
inner-product,Config6,unified,0,0,0,10,0.665451,32905,98455,65517
